ticker,name,premium_code,free_code
BEAT,BioTelemetry,EOD/BEAT,GOOG/NASDAQ_BEAT
BEAV,B/E Aerospace,EOD/BEAV,GOOG/NASDAQ_BEAV
BEBE,bebe stores,EOD/BEBE,GOOG/NASDAQ_BEBE
BECN,Beacon Roofing Supply,EOD/BECN,GOOG/NASDAQ_BECN
BELFA,Bel Fuse Inc.,EOD/BELFA,GOOG/NASDAQ_BELFA
BELFB,Bel Fuse Inc.,EOD/BELFB,GOOG/NASDAQ_BELFB
BFIN,BankFinancial Corporation,EOD/BFIN,GOOG/NASDAQ_BFIN
BGCP,BGC Partners,EOD/BGCP,GOOG/NASDAQ_BGCP
BGFV,Big 5 Sporting Goods Corporation,EOD/BGFV,GOOG/NASDAQ_BGFV
BHAC,Barington/Hilco Acquisition Corp.,EOD/BHAC,
BHACR,Barington/Hilco Acquisition Corp.,EOD/BHACR,
BHACU,Barington/Hilco Acquisition Corp.,EOD/BHACU,
BHACW,Barington/Hilco Acquisition Corp.,EOD/BHACW,
BHBK,Blue Hills Bancorp,EOD/BHBK,
BIB,ProShares Ultra Nasdaq Biotechnology,EOD/BIB,GOOG/NASDAQ_BIB
BICK,First Trust BICK Index Fund,EOD/BICK,GOOG/NASDAQ_BICK
BIDU,Baidu,EOD/BIDU,GOOG/NASDAQ_BIDU
BIIB,Biogen Inc.,EOD/BIIB,GOOG/NASDAQ_BIIB
BIND,BIND Therapeutics,EOD/BIND,GOOG/NASDAQ_BIND
BIOC,Biocept,EOD/BIOC,GOOG/NASDAQ_BIOC
BIOD,Biodel Inc.,EOD/BIOD,GOOG/NASDAQ_BIOD
BIOL,Biolase,EOD/BIOL,GOOG/NASDAQ_BIOL
BIOS,BioScrip,EOD/BIOS,GOOG/NASDAQ_BIOS
BIS,ProShares UltraShort Nasdaq Biotechnology,EOD/BIS,GOOG/NASDAQ_BIS
BITE,The Restaurant ETF,EOD/BITE,
BITI,Biotie Therapies Corp.,EOD/BITI,
BJRI,BJ&#39;s Restaurants,EOD/BJRI,GOOG/NASDAQ_BJRI
BKCC,BlackRock Capital Investment Corporation,EOD/BKCC,GOOG/NASDAQ_BKCC
BKEP,Blueknight Energy Partners L.P.,EOD/BKEP,GOOG/NASDAQ_BKEP
BKEPP,Blueknight Energy Partners L.P.,EOD/BKEPP,GOOG/NASDAQ_BKEPP
BKMU,Bank Mutual Corporation,EOD/BKMU,GOOG/NASDAQ_BKMU
BKSC,Bank of South Carolina Corp.,EOD/BKSC,GOOG/NASDAQ_BKSC
BLBD,Blue Bird Corporation,EOD/BLBD,
BLCM,Bellicum Pharmaceuticals,EOD/BLCM,
BLDP,Ballard Power Systems,EOD/BLDP,GOOG/NASDAQ_BLDP
BLDR,Builders FirstSource,EOD/BLDR,GOOG/NASDAQ_BLDR
BLFS,BioLife Solutions,EOD/BLFS,
BLIN          ,Bridgeline Digital,EOD/BLIN          ,GOOG/NASDAQ_BLIN          
BLKB,Blackbaud,EOD/BLKB,GOOG/NASDAQ_BLKB
BLMN,Bloomin&#39; Brands,EOD/BLMN,GOOG/NASDAQ_BLMN
BLMT,BSB Bancorp,EOD/BLMT,GOOG/NASDAQ_BLMT
BLPH,Bellerophon Therapeutics,EOD/BLPH,
BLRX,BioLineRx Ltd.,EOD/BLRX,GOOG/NASDAQ_BLRX
BLUE,bluebird bio,EOD/BLUE,GOOG/NASDAQ_BLUE
BLVDU,Boulevard Acquisition Corp. II,EOD/BLVDU,
BMRC,Bank of Marin Bancorp,EOD/BMRC,GOOG/NASDAQ_BMRC
BMRN,BioMarin Pharmaceutical Inc.,EOD/BMRN,GOOG/NASDAQ_BMRN
BMTC,Bryn Mawr Bank Corporation,EOD/BMTC,GOOG/NASDAQ_BMTC
BNCL,Beneficial Bancorp,EOD/BNCL,GOOG/NASDAQ_BNCL
BNCN,BNC Bancorp,EOD/BNCN,GOOG/NASDAQ_BNCN
BNDX,Vanguard Total International Bond ETF,EOD/BNDX,GOOG/NASDAQ_BNDX
BNFT,Benefitfocus,EOD/BNFT,GOOG/NASDAQ_BNFT
